,City,NickName,Province,Sex,Signature
67,台州,周观暖,浙江,2,"From Me To You <span class=""emoji emoji2764""></span>?"
68,,陈肖莹(Charlie),上海,1,事到万难需放胆，狭路相逢勇者胜！
69,台州,BB,浙江,1,想要进步，必须改革、开放。
70,台州,hisoka,浙江,1,
71,台州,蓉,浙江,2,I was \am \will be a lonely unloved girl. 
72,台州,清风扶柳,浙江,1,
73,台州,佳有二宝,浙江,1,坚持就是胜利！！！
74,台州,浅夏星空,浙江,2,
75,台州,Double,浙江,2,
76,台州,林小坚,浙江,1,雷声渊默
77,,末末,,0,
78,台州,汪沛,浙江,1,好好工作，好好爱老婆，老婆最大！
79,台州,我有驻牙,浙江,2,哀末大于心死，要坚强过汉子
80,,TiDo,AG,1,外向的社交焦虑症患者。
81,台州,俞陈,浙江,1,责任
82,深圳,heali,广东,1,
83,朝阳,简单～,北京,1,戒烟 戒酒 戒姑娘
84,,陈霞,,0,
85,舟山,Mike Zhang,浙江,1,越努力，越幸运！
86,宁波,小芳芳,浙江,2,人生有尺，做人有度，我们掌控不了命运，却能掌控自己。
87,台州,.,浙江,1,诚实做人，诚信做事
88,台州,过客而已,浙江,2,
89,西安,刘阳,陕西,1,罗马不是一天建成的
90,宁波,詹惠芳,浙江,2,
91,宁波,track,浙江,1,
92,台州,海屋添筹,浙江,1,QQ被盗，请朋友们注意！有事请电话联系
93,台州,年华,浙江,2,新老都是朋友s
94,台州,啊噢,浙江,1,最怕是春归了秣林树，人老偏在建康城。
95,台州,不可胜言,浙江,1,时光不语，静待花开。心平气和，淡泊流年。
96,台州,朱朱,浙江,2,心若无愧，天佑千年！
97,宁波,林峰,浙江,1,简单，正直
98,台州,Leon,浙江,1,日出已作，日落未息。
99,杭州,江南骏,浙江,1,超越自己，快乐将在不经意间追上你。
100,台州,ZM?,浙江,2,
101,台州,囡囡妈,浙江,2,且行且珍惜
102,厦门,明,福建,1,
103,,章伟,,1,
104,台州,YQW,浙江,2,
105,,芬芳馥郁，春芳,,2,
106,台州,阴谋,浙江,2,
107,杭州,豆包包,浙江,1,
108,台州,陈鑫雨潇,浙江,2,
109,台州,王小怡,浙江,2,自己的自己
110,杭州,卢珊,浙江,2,
111,,潜水的鱼?,Paris,2,愿你在爱的世界里如愿以偿。
112,台州,Fighting。,浙江,2,
113,深圳,"大乌贼 (""\(●-●)/"")",广东,1,大陨石和小糯米
114,台州,陶金宝,浙江,1,讨厌我的人多了！你算老几！
115,台州,木,浙江,2,
116,台州,张钲尉,浙江,1,
117,台州,sealk,浙江,1,
118,Washington City,朱绍明Shaoming &amp; FLIA,District of Columbia,2,Foundation for Law and International Affairs 
119,台州,丁小瓷,浙江,2,生不厌世，活不弃志。
120,台州,小莳光甜品店（小鹿妃妃）,浙江,2,生日蛋糕、婚礼和宝宝宴甜品台、甜点、简餐 电话：15381859900
121,,D,,1,路虽远，行者将至
122,台州,小陌,浙江,2,
123,台州,海边人家,浙江,1,
124,,罗 义,,1,定制，加工，生产各类彩灯，节日灯。
125,,HylnS,,1,
126,台州,短腿欧巴,浙江,1,天行健 地势坤
127,台州,meiminsi,浙江,1,
128,,你手微凉,,2,
129,台州,紫璇,浙江,2,在诚实的失败中骄傲而不馁
130,台州,阳,浙江,0,
131,台州,皮皮daddy,浙江,1,20140619宝宝长出第一颗牙齿啦！
132,台州,yf,浙江,1,
133,台州,吴邵,浙江,1,"天下难事，必作于易；
天下大事，必作于细。"
134,台州,奇迹,浙江,1,
135,,若水,,2,简洁淡雅中的一抹独具匠心
136,台州,じday day ▲up,浙江,1,人生百般滋味，生活需要笑对。じday day ▲up
137,厦门,蔡伟毅,福建,1,独立之精神，自由之思想
138,,tutu,,2,
139,台州,明,浙江,1,肋骨真脆弱
140,,C·shine,,2,
141,台州,Hyo 布利,浙江,2,若有风来 便随风走
142,海淀,Bank资管02,北京,2,专注银行研究与新闻！
143,,wxy,Stockholms,1,人生若只如初见，何事秋风悲画扇
144,台州,空谷幽兰,浙江,2,"不要忧虑太多，好好善待自己。
"
145,台州,三叶,浙江,2,
146,台州,方旖旎,浙江,2,选择性恐惧症vs晚睡强迫症
147,宁波,于老师（在职读研）,浙江,2,每个人都是通过自己的努力，决定自己生活的样子。15906740939。
148,东城,洪军,北京,1,busy
149,台州,盼盼周,浙江,2,
150,杭州,M i n,浙江,1,静坐常思己过，闲谈莫论人非。
151,杭州,Chen,浙江,2,"
I'll never find someone like you."
152,台州,放开我的洋葱,浙江,1,
153,台州,江南汤汤,浙江,1,苟富贵，无相忘
154,台州,乐滋滋,浙江,2,
155,台州,烨哥?韩式炸鸡三门总店,浙江,2,我们专业做炸鸡热线83321159
156,台州,勇,浙江,1,人生若只如初见
157,台州,郑葵,浙江,1,
158,台州,林恩灵,浙江,1,
159,广州,Goddess,广东,2,爱情就像一个笑话，笑死了别人，最后也笑疼了自己！
160,台州,任任几,浙江,2,任凭风，且听雨。
161,杭州,沈炜炜,浙江,1,
162,台州,Deinstain,浙江,1,
163,宁波,永恒星???,浙江,1,远离垃圾人，人至贱则无敌嘛！
164,台州,Chan夏斌,浙江,1,所有的相遇都是久别重逢
165,,东方明珠,,0,
166,台州,懒人是福,浙江,2,不要打扰我，我要睡觉！
167,台州,王小健,浙江,1,渐渐地变的贱贱的。
168,商丘,若瞳,河南,2,人两只耳朵却只有一张嘴巴，这意味着人应该多听少讲。
169,杭州,升斗小民,浙江,1,知世故而不世故，善自嘲而不嘲人。
170,,吴灵红,,2,
171,,六月雪,,0,
172,台州,煦晓韓,浙江,2,经得起这世界考验 还欣赏彼此那弱点
173,Newcastle,打工仔,New South Wales,1,
174,台州,光明路华莱士? ?田明慧? ?,浙江,2,此处略去无数字！无语胜万语！
175,漳州,晓雾将歇,福建,1,
176,台州,李QM,浙江,1,
177,台州,微酸柠檬,浙江,2,
178,台州,曼,浙江,2,从容是真 宽释是福 有敬无畏 乐以忘忧
179,台州,童颜者夫,浙江,1,我就是我，是颜色不一样的烟火！
180,宁波,源,浙江,2,
181,,偏偏,,1,
182,杭州,林康,浙江,1,好好努力吧 等你优秀了 你想要的都会来找你
183,,Rudolph.Kai,,1,天行健，自强不息。地势坤，厚德载物。
184,台州,大笨鸟,浙江,1,罗迪
185,温州,国际酒吧,浙江,1,
186,台州,别，情,浙江,1,中国平安院桥分公司新开业，招聘主管，客服数名，要求高中以上
187,台州,m_mmmmm,浙江,2,i'm back！！
188,台州,July,浙江,2,有今生，没来世。
189,杭州,陈小丫,浙江,2,
190,台州,傻白糖,浙江,2,男科妇科免费咨询:18657686474
191,台州,落雨杉,浙江,2,调整心态
192,成都,大熊,四川,1,梦颖？！
193,台州,和風の精制寿司【三门店】,浙江,2,地址:西区大道御景西苑37-19号
194,台州,拭淚,浙江,2,哦不再见
195,台州,背着?去散步?,浙江,2,
196,台州,安生,浙江,2,做最好的自己
197,台州,元宫茜,浙江,2,淡泊以明志，宁静以致远！
198,郑州,平常,河南,2,
199,,?渔笛晨风,Basel Landschaft,2,                                                            
200,杭州,Hanna,浙江,2,
201,平顶山,玲玲,河南,1,新浪微薄。“白色空风琴”求关注。。。。
202,,(бвб),,2,get√86.12
203,杭州,A隔壁小明,浙江,1,格力、老板、能率、万家乐、大理石，帮介绍，价格优15168268688
204,台州,法正,浙江,1,卖手机平板本本13656767320，18057638599
205,长沙,乔日波18975163430创业赢,湖南,1,相信专业的力量
206,广州,奉茶|FENGCHA@Apple,广东,2,13825067532
207,广州,A喜茶运营中心--夏天,广东,1,努力到无能为力，坚持到感动自己！
208,杭州,小楼,浙江,1,
209,台州,巧,浙江,2,好心情才会有好风景，好眼光才会有好发现，好思考才会有好主意
210,台州,特雷西陈,浙江,1,
211,宁波,Jo,浙江,2,耶?
212,台州,律政女超人,浙江,2,
213,台州,包重阳,浙江,1,要知道，在最年轻的日子里，只有投资自己，是稳赚不赔的
214,台州,日亮℡???????????,浙江,1,Just  Do！
215,朝阳,吉儿,北京,2,万物皆有裂痕，那是光照进来的地方
216,海淀,终生学习者,北京,2,生活给我什么，我就热爱什么。
217,西安,太鼓（杨乐）,陕西,1,致虚极，守静笃
218,台州,A0创亿车险超市---丁子文,浙江,1,买车险（商业险）送礼品了，买多少送多少！
219,台州,小小超,浙江,1,ヽ(；▽；)ノ
220,和平,.,天津,1,
221,台州,Molly,浙江,2,
222,Albany City,A特色餐饮招商部孙经理,New York,1,
223,台州,王木木,浙江,2,
224,台州,?,浙江,1,人生天地间，忽如远行客
225,台州,北极星,浙江,1,不以物喜，不以己悲
226,,一切随枫,,1,
227,Melbourne,DT程,Victoria,1,专注
228,,小雅,,0,
229,台州,三门-杨顶,浙江,1,我也想来次说走就走的旅行
230,绍兴,承诺太早 只争朝夕,浙江,2,大家好!如果要学车就联系我哦!
231,台州,?郑叶飞?? ?,浙江,2,
232,静海,赵成刚,天津,1,
233,宁波,田野,浙江,1,
234,,娴子,Vienna,2,愿得一心人 白首不相离
235,,安妮,北京,2,
236,台州,目分,浙江,2,哪有什么岁月静好，不过是有人替你负重前行
237,宁波,小雪?,浙江,2,岁月是一场有去无回的旅行，好的坏的都是风景。
238,台州,一步莲华,浙江,2,一步一罪化，一步一莲华
239,顺义,豆晶晶,北京,2,苦海翻起爱恨，在世间难逃避命运
240,台州,方小超,浙江,1,我的梦，中国梦
241,台州,?,浙江,2,
242,,?战狼?,,1,舒洋   （私人定制日韩造型    玩转色彩  男士最新油头）
243,台州,aomine,浙江,1,卍
244,Port Lincoln,hey  黄大雪?,South Australia,2,越自律  越自由
245,杭州,小猪笨笨,浙江,1,
246,,敬敬,Villa Krause,2,闲看庭前花开花落
247,台州,笑笑,浙江,2,希望儿子平平安安健康康长大
248,,Sam,,1,
249,台州,素锦,浙江,2,亲爱的小孩.''
250,台州,林腾,浙江,1,脑子夹坏了
251,广州,项目经理～彭永嵩,广东,1,
252,台州,呵呵,浙江,2,(^_^)
253,台州,林轩伊,浙江,2,"敢吃敢睡敢荒废，不穷不累不遭罪<span class=""emoji emoji270c""></span>?"
254,台州,超君,浙江,2,在奔往幸福的路上，不要因为偶尔的挫折觉得不幸福
255,台州,香·卿,浙江,2,你是我甜蜜的负担！
256,台州,晶晶,浙江,2,
257,,秋簟残香,上海,2,每一天都是最后一天，热爱生命，珍爱家人
258,台州,张,浙江,2,
259,宁波,A程津-18892645509,浙江,1,
260,宁波,陈捷,浙江,1,
261,,^_^,,2,"海鲜干货及防晒袖运动腰包等户外批发零售<span class=""emoji emoji2600""></span><span class=""emoji emoji2600""></span>"
262,台州,Oo何小?。,浙江,2,一步错 步步错。
263,宁波,陈演钧（Yomi di mama）,浙江,2,能力不如别人，但努力的程度要超越所有的人！
264,台州,毛晓军,浙江,1,
265,台州,jerry,浙江,1,
266,台州,老虎头,浙江,1,人到无求品自高
267,衢州,蝉,浙江,1,
268,杭州,我是超人你知道吗,浙江,2,温柔而坚定。
269,,个性化执着,,1,平和而执着，谦虚而无畏
270,台州,、yang,浙江,1,
271,台州,?,浙江,2,sunshine always.感恩?
272,舟山,春光化苗,浙江,1,坚持就是幸福
273,台州,叶人根,浙江,1,
274,台州,? 霄?,浙江,2,只要觉得快乐就好
275,,哈,,1,
276,台州,三门品果摄影 - 经理超超,浙江,2,传承幸福.传递快乐
277,普陀,张泽亮,上海,1,
278,Port Augusta,章华敏,South Australia,2,
279,,???紫薇??,,2,
280,台州,??Vicky _琳_Zhai??,浙江,2,
281,杭州,末末?,浙江,2,小于一童装，轻氧轻燕。轻氧酵素，
282,宁波,欧阳沁,浙江,2,
283,,yy,Kerry,2,不要忧愁，只要信
284,,想要未知的疯狂、,,1,
285,宁波,你...专属我的...,浙江,1,主营：生活居家用品，化妆保养品，营养保健用品。
286,西安,MRor,陕西,1,工作生活两不误
287,台州,奕淋,浙江,1,
288,台州,甜酸,浙江,2,"留得住的不需用力，留不住的不需费力！<span class=""emoji emoji1f340""></span>"
289,台州,Lucy?,浙江,2,不放弃
290,台州,A海鲜汇15657670320（王飞）,浙江,2,宁静的力量 睿智的味道
291,台州,品果摄影-门市经理-叶姐,浙江,2,亲友好！婚嫁方面问题可以帮助大家哦手机13738644642政府674642
292,,行走中?,浙江,2,13857659729
293,台州,木欣欣,浙江,2,
294,台州,My Pizza披萨?,浙江,2,Tel：13105766635 （请提前一小时预定）地址：老东站二小旁
